user_story_id,story_text,moscow_priority,importance_score,stakeholder_role,project_stage,iteration_count,feedback,sentiment,timeline_prediction,budget_prediction,actual_timeline,actual_budget,team_skills
62,"As a manager, I need manage tasks effectively to satisfy clients.",Won't,8,Developer,Development,1,"The interface is user-friendly, but performance needs improvement.",Neutral,121.3,54745.15,126.48,56019.66,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
63,"As a manager, I wish to plan the sprint so I can enhance usability.",Could,5,Product Owner,Deployment,2,We are satisfied with the current functionality.,Neutral,41.43,22412.24,38.86,22219.54,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
64,"As a tester, I am required to test the application thoroughly to achieve deliver value.",Should,2,Manager,Sprint Planning,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,49.51,14628.88,46.21,15438.08,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
65,"As a product owner, I want to create detailed reports so that satisfy clients.",Must,9,Product Owner,Testing,2,"Not satisfied with the outcome, requires a fix.",Neutral,75.25,36720.11,74.0,38226.07,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
66,"As a stakeholder, I am required to create detailed reports to achieve achieve business goals.",Must,9,Tester,Development,3,"Not satisfied with the outcome, requires a fix.",Neutral,116.07,57761.12,119.18,57594.62,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
67,"As a product owner, I want to design the interface so that ensure quality.",Must,6,Product Owner,Deployment,1,This part of the system needs a complete overhaul.,Negative,76.51,21304.99,72.1,20595.94,"{'developer': 'expert', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'expert'}"
68,"As a product owner, I wish to deploy the software so I can meet deadlines.",Won't,5,Product Owner,Testing,1,"The interface is user-friendly, but performance needs improvement.",Neutral,36.93,16756.15,42.85,18442.6,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
69,"As a developer, I am required to deploy the software to achieve ensure quality.",Won't,5,Tester,Deployment,3,We are satisfied with the current functionality.,Neutral,108.67,28818.36,115.75,30173.45,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
70,"As a developer, I wish to create detailed reports so I can enhance usability.",Must,3,Product Owner,Development,1,"The interface is user-friendly, but performance needs improvement.",Neutral,43.5,16996.5,50.13,16637.44,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'intermediate'}"
71,"As a stakeholder, I need manage tasks effectively to meet deadlines.",Won't,6,Developer,Development,3,"The design aligns well with our goals, but testing needs more focus.",Neutral,88.9,26648.92,88.42,27346.63,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
72,"As a manager, I want to create detailed reports so that achieve business goals.",Must,5,Tester,Deployment,1,"Not satisfied with the outcome, requires a fix.",Neutral,45.87,22778.0,44.7,22584.07,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
73,"As a developer, I want to test the application thoroughly so that satisfy clients.",Should,5,Tester,Development,4,This part of the system needs a complete overhaul.,Negative,72.23,15522.75,68.82,15399.53,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'intermediate'}"
74,"As a product owner, I am required to test the application thoroughly to achieve ensure quality.",Should,6,Manager,Testing,4,"The design aligns well with our goals, but testing needs more focus.",Neutral,69.14,30222.14,69.4,29911.53,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
75,"As a product owner, I must create detailed reports in order to satisfy clients.",Must,3,Tester,Development,1,"Not satisfied with the outcome, requires a fix.",Neutral,34.56,14035.48,39.27,14017.64,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'expert'}"
76,"As a manager, I need review the user stories to ensure quality.",Should,7,Developer,Deployment,3,"Not satisfied with the outcome, requires a fix.",Neutral,45.87,10652.4,54.26,9720.6,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
77,"As a manager, I must create detailed reports in order to enhance usability.",Must,4,Product Owner,Sprint Planning,2,"The design aligns well with our goals, but testing needs more focus.",Neutral,20.05,16855.55,19.65,16765.51,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
78,"As a manager, I want to deploy the software so that deliver value.",Won't,3,Developer,Sprint Planning,1,"Not satisfied with the outcome, requires a fix.",Neutral,88.59,32911.61,86.46,32978.49,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'intermediate'}"
79,"As a designer, I am required to deploy the software to achieve enhance usability.",Won't,8,Manager,Testing,4,"The interface is user-friendly, but performance needs improvement.",Neutral,77.5,25642.46,85.62,26399.4,"{'developer': 'expert', 'tester': 'beginner', 'manager': 'expert', 'designer': 'intermediate'}"
80,"As a developer, I am required to deploy the software to achieve meet deadlines.",Won't,6,Manager,Deployment,4,The feature works great but could use some improvement.,Positive,11.6,12961.62,14.28,12688.88,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
81,"As a developer, I wish to plan the sprint so I can meet deadlines.",Could,10,Tester,Sprint Planning,3,"Not satisfied with the outcome, requires a fix.",Neutral,39.18,11111.64,39.97,10791.22,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
82,"As a product owner, I need collaborate with the team to achieve business goals.",Won't,4,Manager,Development,5,This part of the system needs a complete overhaul.,Negative,24.38,21036.23,24.62,21067.47,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
83,"As a developer, I need collaborate with the team to meet deadlines.",Could,1,Developer,Deployment,2,We are satisfied with the current functionality.,Neutral,73.0,35441.15,81.46,36146.14,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'intermediate'}"
84,"As a manager, I am required to deploy the software to achieve meet deadlines.",Won't,3,Product Owner,Sprint Planning,2,We are satisfied with the current functionality.,Neutral,33.05,9921.55,31.87,9396.87,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
85,"As a tester, I am required to deploy the software to achieve ensure quality.",Should,9,Tester,Testing,2,This part of the system needs a complete overhaul.,Negative,12.48,12481.45,19.94,13789.32,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
86,"As a developer, I am required to create detailed reports to achieve ensure quality.",Must,8,Manager,Sprint Planning,2,We are satisfied with the current functionality.,Neutral,102.91,42414.41,106.5,42803.35,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'expert'}"
87,"As a stakeholder, I am required to design the interface to achieve deliver value.",Must,6,Manager,Development,3,The feature works great but could use some improvement.,Positive,25.4,15947.52,24.49,16277.79,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
88,"As a manager, I need review the user stories to ensure quality.",Should,4,Product Owner,Development,1,Excellent implementation! Great work.,Neutral,44.01,12972.57,49.64,14454.3,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
89,"As a stakeholder, I wish to design the interface so I can meet deadlines.",Must,9,Tester,Deployment,5,This part of the system needs a complete overhaul.,Negative,55.53,16102.41,63.54,16886.36,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
90,"As a product owner, I must create detailed reports in order to deliver value.",Must,8,Product Owner,Deployment,1,Excellent implementation! Great work.,Neutral,116.05,33268.18,115.4,34503.54,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'expert'}"
91,"As a product owner, I wish to plan the sprint so I can satisfy clients.",Could,7,Developer,Development,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,21.93,12305.54,21.91,12270.68,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'beginner'}"
92,"As a stakeholder, I am required to create detailed reports to achieve enhance usability.",Must,9,Developer,Development,5,We are satisfied with the current functionality.,Neutral,18.26,14433.67,26.56,15348.8,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'expert'}"
93,"As a designer, I wish to design the interface so I can satisfy clients.",Must,10,Developer,Sprint Planning,4,This part of the system needs a complete overhaul.,Negative,72.47,19171.97,79.6,19320.84,"{'developer': 'intermediate', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
94,"As a tester, I want to plan the sprint so that ensure quality.",Should,5,Tester,Development,5,"The design aligns well with our goals, but testing needs more focus.",Neutral,80.26,47791.27,81.2,48188.11,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
95,"As a manager, I wish to test the application thoroughly so I can satisfy clients.",Should,9,Manager,Deployment,4,"The interface is user-friendly, but performance needs improvement.",Neutral,83.45,20865.21,80.77,21859.92,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'beginner'}"
96,"As a stakeholder, I wish to plan the sprint so I can ensure quality.",Could,5,Manager,Sprint Planning,2,"The interface is user-friendly, but performance needs improvement.",Neutral,113.58,42424.87,115.93,41581.81,"{'developer': 'beginner', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
97,"As a tester, I need validate the design to ensure quality.",Should,3,Manager,Sprint Planning,3,Excellent implementation! Great work.,Neutral,93.58,41561.02,94.45,42735.37,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'intermediate', 'designer': 'beginner'}"
98,"As a designer, I need use advanced tools to ensure quality.",Must,5,Product Owner,Sprint Planning,1,"The design aligns well with our goals, but testing needs more focus.",Neutral,14.13,6458.91,15.06,7320.62,"{'developer': 'intermediate', 'tester': 'expert', 'manager': 'intermediate', 'designer': 'intermediate'}"
99,"As a tester, I am required to review requirements to achieve ensure quality.",Should,8,Developer,Testing,3,This part of the system needs a complete overhaul.,Negative,15.44,17291.94,21.07,18604.9,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
100,"As a manager, I must test the application thoroughly in order to achieve business goals.",Should,7,Tester,Deployment,1,We are satisfied with the current functionality.,Neutral,111.71,57054.4,117.16,58957.02,"{'developer': 'expert', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'beginner'}"
101,"As a manager, I want to deploy the software so that meet deadlines.",Won't,5,Developer,Development,1,The feature works great but could use some improvement.,Positive,113.1,34966.97,108.49,34291.31,"{'developer': 'intermediate', 'tester': 'intermediate', 'manager': 'intermediate', 'designer': 'intermediate'}"
102,"As a designer, I want to design the interface so that enhance usability.",Must,3,Product Owner,Sprint Planning,2,"Not satisfied with the outcome, requires a fix.",Neutral,45.43,26554.03,40.59,27030.05,"{'developer': 'expert', 'tester': 'expert', 'manager': 'expert', 'designer': 'beginner'}"
103,"As a manager, I need collaborate with the team to satisfy clients.",Could,1,Developer,Sprint Planning,4,The feature works great but could use some improvement.,Positive,43.85,23642.62,48.1,25557.12,"{'developer': 'beginner', 'tester': 'beginner', 'manager': 'expert', 'designer': 'expert'}"
104,"As a tester, I want to test the application thoroughly so that achieve business goals.",Should,5,Tester,Testing,1,The feature works great but could use some improvement.,Positive,97.55,18458.56,107.01,17589.68,"{'developer': 'beginner', 'tester': 'intermediate', 'manager': 'expert', 'designer': 'beginner'}"
